STATUS,INPUT
F,"Normally invisible saliva droplets can spread in the air, visualized by researchers using laser technology.",
F,"Normally invisible saliva droplets can increase in the air, visualized by researchers using laser technology.",
T,Sex differences in immune responses to sars-cov-2 that underlie disease outcomes,
F,Sex differences in immune responses to sars-cov-2 that underlie protection outcomes,
T,Adjuvant-free nanofiber vaccine induces in situ lung dendritic cell activation and th17 responses,
F,Adjuvant-free nanofiber vaccine knocks in situ lung dendritic cell activation and th17 responses,
F,Adjuvant-free nanofiber vaccine induces in situ memory dendritic cell activation and th17 responses,
T,The fda has canceled emergency use of hydroxychloroquine for covid-19,
F,The fda has increased emergency use of hydroxychloroquine for covid-19,
F,The fda has potential emergency use of hydroxychloroquine for covid-19,
F,The fda has good emergency use of hydroxychloroquine for covid-19,
T,Antibody testing will enhance the power and accuracy of covid-19-prevention trials,
F,Antibody testing will reduce the power and accuracy of covid-19-prevention trials,
F,Antibody testing will limit the power and accuracy of covid-19-prevention trials,
F,Antibody testing will decrease the power and accuracy of covid-19-prevention trials,
T,Cytodyn reports strong results from eind covid-19 patients treated with leronlimab , majority of patients have demonstrated remarkable recoveries
F,Cytodyn reports strong results from eind covid-19 patients treated with leronlimab , none of patients have demonstrated remarkable recoveries
F,Cytodyn reports strong results from eind covid-19 patients treated with leronlimab , few of patients have demonstrated remarkable recoveries
F,Cytodyn reports strong results from eind covid-19 patients treated with leronlimab , two of patients have demonstrated remarkable recoveries
T,Sars-cov-2 infects brain choroid plexus and disrupts the blood-csf-barrier,
F,Sars-cov-2 infects intestinal choroid plexus and disrupts the blood-csf-barrier,
F,Sars-cov-2 infects brain choroid plexus and backs the blood-csf-barrier,
T,Coronial autopsies identify the indirect effects of covid-19,
F,Coronial autopsies identify the therapeutic effects of covid-19,
F,Coronial autopsies identify the biological effects of covid-19,
F,Coronial autopsies identify the cytotoxic effects of covid-19,
T,3blue1brown provided detailed simulations of an epidemic,
F,3blue1brown provided detailed simulations of an algorithm,
F,3blue1brown provided detailed simulations of an equation,
F,3blue1brown provided detailed simulations of an alignment,
T,"Delaware medical supplier says fema seized 400,000 n95 masks , now he 's out millions of dollars",
F,"Delaware medical supplier and fema seized 400,000 n95 masks, now he's out millions of dollars",
F,"Delaware medical supplier with fema seized 400,000 n95 masks, now he's out millions of dollars",
T,Fauci predicts us deaths from coronavirus,
F,Fauci predicts us deaths globally coronavirus,
F,Fauci predicts us deaths worldwide coronavirus,
T,"Leronlimab used in seven patients in nyc with severe covid-19 demonstrated promise with two intubated patients in icu , removed from icu and extubated with reduced pulmonary inflammation",
F,"Leronlimab used in two patients in nyc with severe covid-19 demonstrated promise with two intubated patients in icu, removed from icu and extubated with reduced pulmonary inflammation",
F,"Leronlimab used in three patients in nyc with severe covid-19 demonstrated promise with two intubated patients in icu, removed from icu and extubated with reduced pulmonary inflammation",
F,"Leronlimab used in four patients in nyc with severe covid-19 demonstrated promise with two intubated patients in icu, removed from icu and extubated with reduced pulmonary inflammation",
T,Home testing for coronavirus to track levels of infection in the community,
F,Laboratory testing for coronavirus to track levels of infection in the community,
F,Studies testing for coronavirus to track levels of infection in the community,
T,The sars-cov-2-like virus found in captive pangolins from guangdong should be better sequenced .,
F,The sars-cov-2-like virus found in captive pangolins from guangdong cannot be better sequenced.,
T,High dose vitamin d improves total serum antioxidant capacity and icu outcome in critically ill patients.,
F,High dose vitamin d reduces total serum antioxidant capacity and icu outcome in critically ill patients.,
F,High dose vitamin d decreased total serum antioxidant capacity and icu outcome in critically ill patients.,
F,High dose vitamin d reduced total serum antioxidant capacity and icu outcome in critically ill patients.,
T,Epidemiologic features and clinical course of 1st 18 patients infected with sars-cov-2 in singapore,
F,Epidemiologic features and clinical course of 10 18 patients infected with sars-cov-2 in singapore,
F,Epidemiologic features and clinical course of all 18 patients infected with sars-cov-2 in singapore,
F,Epidemiologic features and clinical course of over 18 patients infected with sars-cov-2 in singapore,
T,A bifidobacterial protein that can reduce inflammation in covid-19 found by a rudn geneticist,
F,A bifidobacterial protein that cannot reduce inflammation in covid-19 found by a rudn geneticist,
F,A bifidobacterial virus that can reduce inflammation in covid-19 found by a rudn geneticist,
T,Swissmedic begins rolling review of moderna 's mrna vaccine against covid-19,
F,Swissmedic begins rolling production of moderna's mrna vaccine against covid-19,
T,Sars-cov-2 spike protein promotes hyper-inflammatory response that can be ameliorated by spike-antagonistic peptide and fda-approved er stress and map kinase inhibitors in vitro,
F,Sars-cov-2 spike protein promotes hyper-inflammatory response that cannot be ameliorated by spike-antagonistic peptide and fda-approved er stress and map kinase inhibitors in vitro,
T,"Finding suggests technology can be installed in air conditioning , vacuum , and water systems",
F,"Finding suggests technology cannot be installed in air conditioning, vacuum, and water systems",
T,Oxford university vaccine shows 70 % protection - bbc news,
F,Oxford university vaccine shows 70 % protection -19 news,
T,Mast cells activated by sars-cov-2 release histamine which increases il-1 levels causing cytokine storm and inflammatory reaction in covid-19,
F,Mast cells activated by sars-cov-2 release histamine which reduces il-1 levels causing cytokine storm and inflammatory reaction in covid-19,
F,Mast cells activated by sars-cov-2 release histamine which decreases il-1 levels causing cytokine storm and inflammatory reaction in covid-19,
F,Mast cells activated by sars-cov-2 release histamine which inhibits il-1 levels causing cytokine storm and inflammatory reaction in covid-19,
T,The furin cleavage site of sars-cov-2 spike protein is a key determinant for transmission due to enhanced replication in airway cells .,
F,The furin cleavage site of sars-cov-2 spike protein is a key determinant for transmission due to enhanced infection in airway cells.,
T,Is there an airborne component to the transmission of covid-19 ?,
F,Is there an airborne component to the entry of covid-19?,
F,Is there an airborne component to the development of covid-19?,
F,Is there an airborne component to the use of covid-19?,
T,Saliva-based antigen testing is better than the pcr swab,
F,Saliva-based antigen testing is lower than the pcr swab,
F,Saliva-based antigen testing is less than the pcr swab,
T,10 % of stockholmers infected,
F,10 % of authorers infected,
F,10 % of readers infected,
F,10 % of allers infected,
T,Sars-cov-2 d614g variant exhibits enhanced replication ex vivo and earlier transmission in vivo,
F,Sars-cov-2 d614g variant inhibited enhanced replication ex vivo and earlier transmission in vivo,
T,Orf8 and orf3b antibodies are accurate serological markers of early and late sars-cov-2 infection,
F,Orf8 and orf3b antibodies are accurate serological markers of early and acute sars-cov-2 infection,
T,Plasma from recovered covid19 subjects inhibits spike protein binding to ace2 in a microsphere-based inhibition assay,
F,Blood from recovered covid19 subjects inhibits spike protein binding to ace2 in a microsphere-based inhibition assay,
F,Rna from recovered covid19 subjects inhibits spike protein binding to ace2 in a microsphere-based inhibition assay,
F,Cdna from recovered covid19 subjects inhibits spike protein binding to ace2 in a microsphere-based inhibition assay,
T,Dana-farber to test blood cancer drug in covid-19 patients,
F,Dana-farber to test breast cancer drug in covid-19 patients,
F,Dana-farber to test human cancer drug in covid-19 patients,
T,Hydroxychloroquine improves airflow and lowers circulating ige levels in subjects with moderate symptomatic asthma,
F,Hydroxychloroquine improves airflow and increases circulating ige levels in subjects with moderate symptomatic asthma,
F,Hydroxychloroquine decreases airflow and lowers circulating ige levels in subjects with moderate symptomatic asthma,
F,Hydroxychloroquine improves airflow and increased circulating ige levels in subjects with moderate symptomatic asthma,
T,Moderna has completed case accrual for first planned interim analysis of its mrna vaccine against covid-19,
F,Moderna has no case accrual for first planned interim analysis of its mrna vaccine against covid-19,
F,Moderna has completed case accrual for first planned interim analysis of its dna vaccine against covid-19,
T,Amplicon contamination in labs masquerades as covid19 in surveillance tests,
F,Amplicon contamination in human masquerades as covid19 in surveillance tests,
F,Amplicon contamination in labs masquerades as covid19 in preparation tests,
F,Amplicon contamination in labs masquerades as covid19 in children tests,
T,Male sex hormones appear to help the coronavirus infiltrate human cells,
F,Male sex hormones fail to help the coronavirus infiltrate human cells,
T,Il-6 : a novel signature associated with covid-19 disease progression and development of anti-sars-cov-2 antibodies,
F,Il-6 : a common signature associated with covid-19 disease progression and development of anti-sars-cov-2 antibodies,
T,Slovakia to test all adults for sars-cov-2,
F,He to test all adults for sars-cov-2,
F,Slovakia to represent all adults for sars-cov-2,
F,failed to test all adults for sars-cov-2,
T,Extra doses found in pfizer 's coronavirus vaccine.,
F,No doses found in pfizer's coronavirus vaccine.,
F,One doses found in pfizer's coronavirus vaccine.,
F,Low doses found in pfizer's coronavirus vaccine.,
T,Bradykinin initiates cytokine-mediated inflammatory hyperalgesia,
F,Bradykinin initiates cytokine-independent inflammatory hyperalgesia,
F,Bradykinin cans cytokine-mediated inflammatory hyperalgesia,
T,Potently neutralizing human antibodies that block sars-cov-2 receptor binding and protect animals,
F,Potently neutralizing mouse antibodies that block sars-cov-2 receptor binding and protect animals,
F,Potently neutralizing human antibodies that block sars-cov-2 receptor binding and neutralization animals,
T,"Persistence of viral rna , pneumocyte syncytia and thrombosis are hallmarks of advanced covid-19 pathology",
F,"Persistence of viral dna, pneumocyte syncytia and thrombosis are hallmarks of advanced covid-19 pathology",
F,"Persistence of viral replication, pneumocyte syncytia and thrombosis are hallmarks of advanced covid-19 pathology",
T,The novel severe acute respiratory syndrome coronavirus 2 directly decimates human spleens and lymph nodes,
F,The primary severe acute respiratory syndrome coronavirus 2 directly decimates human spleens and lymph nodes,
F,The first severe acute respiratory syndrome coronavirus 2 directly decimates human spleens and lymph nodes,
T,"Researchers discover new variant of covid-19 virus in columbus , ohio.",
F,"Researchers no new variant of covid-19 virus in columbus, ohio.",
T,Coronavirus vaccine shows promising early results in china,
F,Coronavirus vaccine shows no early results in china,
T,Sars-cov-2 triggers inflammatory responses and cell death through caspase-8 activation,
F,Sars-cov-2 suppress inflammatory responses and cell death through caspase-8 activation,
F,Sars-cov-2 inhibits inflammatory responses and cell death through caspase-8 activation,
F,Sars-cov-2 inhibited inflammatory responses and cell death through caspase-8 activation,
T,"Sars-cov-2 reinfection in a cohort of 43,000 antibody-positive individuals followed for up to 35 weeks.",
F,"Sars-cov-2 reinfection in a cohort of 43,000 antibody-positive individuals followed for up to 35 years.",
F,"Sars-cov-2 reinfection in a cohort of 43,000 antibody-positive individuals followed for up to 35 days.",
F,"Sars-cov-2 reinfection in a cohort of 43,000 antibody-positive individuals followed for up to 35 hours.",
T,Anakinra to prevent respiratory failure in covid-19,
F,Anakinra to prevent neurological failure in covid-19,
F,Anakinra to cause respiratory failure in covid-19,
F,Anakinra to causes respiratory failure in covid-19,
T,Hadassah doctors crack the cause of fatal corona blood clots,
F,Hadassah virus crack the cause of fatal corona blood clots,
F,Hadassah doctors remain the cause of fatal corona blood clots,
T,Virus can infect heart cells in lab dish,
F,Virus cannot infect heart cells in lab dish,
T,Alpha-1 antitrypsin inhibits sars-cov-2 infection,
F,Cox-1 antitrypsin inhibits sars-cov-2 infection,
F,Mcp-1 antitrypsin inhibits sars-cov-2 infection,
F,Il-1 antitrypsin inhibits sars-cov-2 infection,
T,New study suggests children may carry covid-19 at high levels,
F,New study suggests cats may carry covid-19 at high levels,
F,New study suggests bats may carry covid-19 at high levels,
F,New study suggests coronaviruses may carry covid-19 at high levels,
T,"In the coronavirus pandemic , we 're making decisions without reliable data",
F,"In the coronavirus pandemic, we're making decisions with reliable data",
F,"In the coronavirus pandemic, we're making decisions and reliable data",
F,"In the coronavirus pandemic, we're making decisions in reliable data",
T,Early transfusion of a large cohort of covid-19 patients with high titer anti-sars-cov-2 spike protein igg convalescent plasma confirms a signal of significantly decreased mortality,
F,Early transfusion of a large cohort of covid-19 patients with high titer anti-sars-cov-2 spike protein igg convalescent plasma confirms a signal of significantly increased mortality,
F,Early transfusion of a large cohort of covid-19 patients with high titer anti-sars-cov-2 spike protein igg convalescent plasma confirms a signal of significantly increase mortality,
F,Early transfusion of a large cohort of covid-19 patients with high titer anti-sars-cov-2 spike protein igg convalescent plasma confirms a signal of significantly higher mortality,
T,Egyptian doctors are speaking out against health authorities over increasing coronavirus infections and deaths among medical staff across the country .,
F,Egyptian doctors are ruled out against health authorities over increasing coronavirus infections and deaths among medical staff across the country.,
T,High sars-cov-2 viral load is associated with a worse clinical outcome of covid-19 disease,
F,High sars-cov-2 viral load is associated with a greater clinical outcome of covid-19 disease,
F,High sars-cov-2 viral load is associated with a better clinical outcome of covid-19 disease,
F,High sars-cov-2 viral load is associated with a higher clinical outcome of covid-19 disease,
T,In silico mutagenesis of human ace2 with s protein and translational efficiency explain sars-cov-2 infectivity in different species,
F,In silico mutagenesis of bat ace2 with s protein and translational efficiency explain sars-cov-2 infectivity in different species,
F,In silico mutagenesis of human ace2 with s protein and translational efficiency inhibited sars-cov-2 infectivity in different species,
T,Plasmin cascade mediates thrombolytic events in sars-cov-2 infection via complement and platelet-activating systems,
F,Plasmin cascade mediates thrombolytic events in sars-cov-2 production via complement and platelet-activating systems,
T,Private firm running uk ppe stockpile was sold in middle of pandemic .,
F,Private firm running uk ppe stockpile was established in middle of pandemic.,
F,No firm running uk ppe stockpile was sold in middle of pandemic.,
F,Private firm running uk ppe stockpile was developed in middle of pandemic.,
T,A systematic review uncovers a wide-gap between covid-19 in humans and animal models,
F,A systematic review focuseds a wide-gap between covid-19 in humans and animal models,
F,A systematic review focusess a wide-gap between covid-19 in humans and animal models,
F,A systematic review focuss a wide-gap between covid-19 in humans and animal models,
T,Cardiac sars-cov-2 infection is associated with distinct transcriptomic changes within the heart.,
F,Cardiac sars-cov-2 infection is associated with distinct transcriptomic changes within the lung.,
F,Cardiac sars-cov-2 infection is associated with distinct transcriptomic changes within the lungs.,
F,Cardiac sars-cov-2 infection is associated with distinct transcriptomic changes within the liver.,
T,"'in a few weeks , we will have coronavirus vaccine '",
F,"'in a few years, we will have coronavirus vaccine '",
F,"'in a few hours, we will have coronavirus vaccine '",
F,"'in a few decades, we will have coronavirus vaccine '",
T,Indiana bans all non-essential gatherings over 250 people,
F,Indiana bans all non-essential gatherings over 15 people,
F,Indiana bans all non-essential gatherings over 10 people,
F,Indiana bans all non-essential gatherings over 20 people,
T,"Evaluation of four commercial , fully automated sars-cov-2 antibody tests suggests a revision of the siemens sars-cov-2 igg assay",
F,"Evaluation of two commercial, fully automated sars-cov-2 antibody tests suggests a revision of the siemens sars-cov-2 igg assay",
F,"Evaluation of each commercial, fully automated sars-cov-2 antibody tests suggests a revision of the siemens sars-cov-2 igg assay",
F,"Evaluation of both commercial, fully automated sars-cov-2 antibody tests suggests a revision of the siemens sars-cov-2 igg assay",
T,Global covid-19 cases surpass 75 million.,
F,Global covid-19 cases surpass 75 days.,
F,Global covid-19 cases surpass 75 persons.,
F,Global covid-19 cases surpass 75 deaths.,
T,A false post on social media claims covid-19 vaccine causes infertility in women.,
F,A false post on social media claims covid-19 vaccine causes infertility in dogs.,
F,A false post on social media claims covid-19 vaccine causes infertility in children.,
F,A false post on social media claims covid-19 vaccine causes infertility in adults.,
T,Expert reaction to people being re-tested positive for coronavirus after initial recovery,
F,Expert reaction to people being re-tested positive for coronavirus before initial recovery,
T,Il-6 inhibition could be key to covid-19,
F,Il-6 inhibition could be resistant to covid-19,
F,Il-6 overexpression could be key to covid-19,
F,Il-6 expression could be key to covid-19,
T,Pompeo saying that chinese labs created covid-19 .,
F,Pompeo saying that our labs created covid-19.,
T,Interferons and viruses induce a novel truncated ace2 isoform and not the full-length sars-cov-2 receptor,
F,Interferons and viruses induce a novel truncated ace2 isoform and produce the full-length sars-cov-2 receptor,
F,Interferons and viruses induce a novel truncated ace2 isoform and induce the full-length sars-cov-2 receptor,
F,Interferons and viruses induce a novel truncated ace2 isoform and form the full-length sars-cov-2 receptor,
T,Neutralizing antibodies correlate with protection from sars-cov-2 in humans during a fishery vessel outbreak with high attack rate,
F,Neutralizing antibodies correlate with protection from sars-cov-2 in pigs during a fishery vessel outbreak with high attack rate,
F,Neutralizing antibodies correlate with protection from sars-cov-2 in mice during a fishery vessel outbreak with high attack rate,
F,Neutralizing antibodies correlate with protection from sars-cov-2 in animals during a fishery vessel outbreak with high attack rate,
T,Covid-19 infections leave an impact on the heart,
F,Covid-19 infections leave an impact on the pandemic,
F,Covid-19 infections leave an impact on the epidemic,
F,Covid-19 infections leave an impact on the future,
T,"Sars-cov1 frequent mask use in public venues , frequent hand washing , and disinfecting the living quarters were significant protective factors",
F,"Sars-cov1 frequent mask use in public venues, frequent hand washing, and disinfecting the living quarters were not protective factors",
F,"Sars-cov1 frequent mask use in public venues, frequent hand washing, and disinfecting the living quarters were no protective factors",
F,"Sars-cov1 frequent mask use in public venues, frequent hand washing, and disinfecting the living quarters were less protective factors",
T,Major new lineages of sars-cov-2 emerge and spread in south africa during lockdown .,
F,Major new lineages of sars-cov-2 emerge and spread in south china during lockdown.,
F,Major new lineages of sars-cov-2 emerge and spread in south asia during lockdown.,
T,"Researchers race to develop in-home testing for covid-19 , a potential game changer",
F,"Researchers race to develop in-hospital testing for covid-19, a potential game changer",
F,"Researchers race to develop in-line testing for covid-19, a potential game changer",
F,"Researchers race to develop in-site testing for covid-19, a potential game changer",
T,Estimating the generation interval for covid-19 based on symptom onset data,
F,Estimating the survival interval for covid-19 based on symptom onset data,
F,Estimating the time interval for covid-19 based on symptom onset data,
T,Inactivated rabies virus vectored sars-cov-2 vaccine prevents disease in a syrian hamster model .,
F,Inactivated rabies virus vectored sars-cov-2 vaccine causes disease in a syrian hamster model.,
F,Inactivated rabies virus vectored sars-cov-2 vaccine induces disease in a syrian hamster model.,
F,Inactivated rabies virus vectored sars-cov-2 vaccine causing disease in a syrian hamster model.,
T,"100 percent of regular icu beds in texas medical center occupied , but hospitals have space for surge",
F,"Two percent of regular icu beds in texas medical center occupied, but hospitals have space for surge",
F,"One percent of regular icu beds in texas medical center occupied, but hospitals have space for surge",
F,"Five percent of regular icu beds in texas medical center occupied, but hospitals have space for surge",
T,U.s. to suspend visa services in virus-hit countries including japan,
F,U.s. to provide visa services in virus-hit countries including japan,
F,U.s. to include visa services in virus-hit countries including japan,
F,U.s. to create visa services in virus-hit countries including japan,
T,Chloroquine inhibits hmgb1 inflammatory signaling and protects mice from lethal sepsis,
F,Chloroquine inhibits hmgb1 inflammatory signaling and protects humans from lethal sepsis,
T,Significant expression of furin and ace2 on oral epithelial cells may facilitate the efficiency of 2019-ncov entry,
F,Significant expression of furin and ace2 on oral epithelial cells may reduce the efficiency of 2019-ncov entry,
F,Significant expression of furin and ace2 on oral epithelial cells may decrease the efficiency of 2019-ncov entry,
F,Significant expression of furin and ace2 on oral epithelial cells may limit the efficiency of 2019-ncov entry,
T,High expression of angiotensin-converting enzyme-2 on tissue macrophages that may be targeted by virus sars-cov-2 in covid-19 patients,
F,High expression of angiotensin-converting enzyme-2 on tissue macrophages that cannot be targeted by virus sars-cov-2 in covid-19 patients,
T,Study adds to evidence that odor-sensing cells in the nose are the key entry point for sars cov-2,
F,Study contrast to evidence that odor-sensing cells in the nose are the key entry point for sars cov-2,
T,"Mcconnell declares war on blue states , dismisses more covid-19 aid",
F,"Mcconnell declares war on blue states, enteres more covid-19 aid",
F,"Mcconnell declares war on blue states, passes more covid-19 aid",
F,"Mcconnell declares war on blue states, mentes more covid-19 aid",
T,A neutrophil activation signature predicts critical illness and mortality in covid-19,
F,A neutrophil activation signature predicts mild illness and mortality in covid-19,
F,A neutrophil activation signature predicts respiratory illness and mortality in covid-19,
F,A neutrophil activation signature immunes critical illness and mortality in covid-19,
T,Candesartan could ameliorate the covid-19 cytokine storm,
F,Undesartan could ameliorate the covid-19 cytokine storm,
F,Exdesartan could ameliorate the covid-19 cytokine storm,
F,Redesartan could ameliorate the covid-19 cytokine storm,
T,Identifying silent covid-19 infections among children is critical for controlling the pandemic.,
F,Identifying silent covid-19 infections among adults is critical for controlling the pandemic.,
T,Politician raises alarm over trudeau govt 's plan to build covid quarantine/isolation camps,
F,Politician raises support over trudeau govt's plan to build covid quarantine/isolation camps,
T,Cdc announces modifications and extension of no sail order for all cruise ships,
F,Cdc announces modifications and loss of no sail order for all cruise ships,
F,Cdc announces modifications and lack of no sail order for all cruise ships,
T,Virological assessment of hospitalized patients with covid-2019,
F,Virological assessment of hospitalized patients with covid-3,
F,Virological assessment of hospitalized patients with covid-1,
F,Virological assessment of hospitalized patients with covid-2,
T,Afucosylated immunoglobulin g responses are a hallmark of enveloped virus infections and show an exacerbated phenotype in covid-19,
F,Afucosylated immunoglobulin g responses are a hallmark of dengue virus infections and show an exacerbated phenotype in covid-19,
F,Afucosylated immunoglobulin g responses are a hallmark of respiratory virus infections and show an exacerbated phenotype in covid-19,
T,Covid-19 pandemic could end if 70 % of people wore masks consistently,
F,Covid-19 pandemic could increase if 70 % of people wore masks consistently,
F,Covid-19 pandemic could continue if 70 % of people wore masks consistently,
T,A front-runner vaccine shows promise in older people,
F,A front-runner vaccine shows promise in young people,
T,Mexican doctor taken to icu after experiencing serious reaction to pfizer vaccine.,
F,Mexican doctor taken to icu after no serious reaction to pfizer vaccine.,
T,The coronavirus is most deadly if you are older and male,
F,The coronavirus is not deadly if you are older and male,
F,The coronavirus is less deadly if you are older and male,
F,The coronavirus is most contagious if you are older and male,
T,"Risk of covid-19 hospitalisation rises exponentially with age , inversely proportional to t-cell production",
F,"Risk of covid-19 hospitalisation decreased exponentially with age, inversely proportional to t-cell production",
F,"Risk of covid-19 hospitalisation decreases exponentially with age, inversely proportional to t-cell production",
F,"Risk of covid-19 hospitalisation rises exponentially with death, inversely proportional to t-cell production",
T,Experimental covid-19 vaccine protects upper and lower airways in nonhuman primates,
F,Experimental covid-19 vaccine infects upper and lower airways in nonhuman primates,
T,Covid-19 map was found to be malware,
F,Covid-19 map was found to be stableware,
F,Covid-19 map was found to be positiveware,
F,Covid-19 map was found to be similarware,
T,Researchers identify multiple molecules that shut down sars-cov-2 polymerase reaction,
F,Researchers identify multiple genes that shut down sars-cov-2 polymerase reaction,
F,Researchers identify multiple sites that shut down sars-cov-2 polymerase reaction,
T,Remdesivir but not famotidine inhibits sars-cov-2 replication in human pluripotent stem cell-derived intestinal organoids,
F,Remdesivir but also famotidine inhibits sars-cov-2 replication in human pluripotent stem cell-derived intestinal organoids,
F,Remdesivir but only famotidine inhibits sars-cov-2 replication in human pluripotent stem cell-derived intestinal organoids,
F,Remdesivir but its famotidine inhibits sars-cov-2 replication in human pluripotent stem cell-derived intestinal organoids,
T,Two x-linked agammaglobulinemia patients develop pneumonia as covid-19 manifestation but recover,
F,5 x-linked agammaglobulinemia patients develop pneumonia as covid-19 manifestation but recover,
F,4 x-linked agammaglobulinemia patients develop pneumonia as covid-19 manifestation but recover,
F,1 x-linked agammaglobulinemia patients develop pneumonia as covid-19 manifestation but recover,
T,Full-dose clot prophylaxis halted for severe covid-19 in nhlbi trial.,
F,Full-dose clot prophylaxis continued for severe covid-19 in nhlbi trial.,
F,Full-dose clot prophylaxis allows for severe covid-19 in nhlbi trial.,
F,Full-dose clot prophylaxis allowed for severe covid-19 in nhlbi trial.,
T,Sars-cov-2 infects human neural progenitor cells and brain organoids,
F,Sars-cov-2 infects human neural progenitor cells and lymphocytes organoids,
F,Sars-cov-2 infects human neural progenitor cells and fibroblasts organoids,
T,Serological responses to human virome define clinical outcomes of italian patients infected with sars-cov-2.,
F,Serological responses to bacterial virome define clinical outcomes of italian patients infected with sars-cov-2.,
T,Coronavirus fatality rate estimated by imperial scientists,
F,Coronavirus fatality rate measured by imperial scientists,
T,The human brain vasculature shows a distinct expression pattern of sars-cov-2 entry factors,
F,The rat brain vasculature shows a distinct expression pattern of sars-cov-2 entry factors,
F,The mouse brain vasculature shows a distinct expression pattern of sars-cov-2 entry factors,
T,"In the lab , st. jude researchers uncover origins of deadly inflammation caused by the novel coronavirus",
F,"In the lab, st. chinese researchers uncover origins of deadly inflammation caused by the novel coronavirus",
F,"In the lab, st.org researchers uncover origins of deadly inflammation caused by the novel coronavirus",
F,"In the lab, st.uk researchers uncover origins of deadly inflammation caused by the novel coronavirus",
T,Researchers set to begin clinical trials on coronavirus treatment,
F,Participants set to begin clinical trials on coronavirus treatment,
T,Functional fear predicts public health compliance in the covid-19 pandemic,
F,Functional fear predicts public financial compliance in the covid-19 pandemic,
F,Functional fear predicts public economic compliance in the covid-19 pandemic,
F,Functional fear predicts public media compliance in the covid-19 pandemic,
T,Modified vaccinia ankara based sars-cov-2 vaccine expressing full-length spike induces strong neutralizing antibody response,
F,Modified vaccinia ankara based sars-cov-2 vaccine lacking full-length spike induces strong neutralizing antibody response,
T,Novel mutation identified in sars-cov-2 spike protein from sweden,
F,No mutation identified in sars-cov-2 spike protein from sweden,
F,One mutation identified in sars-cov-2 spike protein from sweden,
T,Our main findings are that cardiac involvement may occur with covid-19 even without respiratory tract signs and symptoms of infection .,
F,Our main findings are that cardiac involvement cannot occur with covid-19 even without respiratory tract signs and symptoms of infection.,
T,Sars-cov-2 viroporin triggers the nlrp3 inflammatory pathway,
F,Sars-cov-2 viroporin regulates the nlrp3 inflammatory pathway,
T,Gilead 's coronavirus wonder-drug remdesivir is masking a board contagion,
F,Inead's coronavirus wonder-drug remdesivir is masking a board contagion,
F,Anead's coronavirus wonder-drug remdesivir is masking a board contagion,
F,Sead's coronavirus wonder-drug remdesivir is masking a board contagion,
T,The sars-cov-2 spike protein disrupts the cooperative function of human cardiac pericytes.,
F,The sars-cov-2 spike protein closelys the cooperative function of human cardiac pericytes.,
T,Cepi and sk bioscience extend collaboration to develop next generation covid-19 vaccine,
F,Cepi and sk bioscience extend collaboration to develop first generation covid-19 vaccine,
T,Sars-cov-2 evolved into two major types,
F,Sars-cov-2 evolved into four major types,
F,Sars-cov-2 evolved into five major types,
F,Sars-cov-2 evolved into six major types,
T,"A bra manufacturer has begun making masks , instead of bras",
F,"A bra manufacturer has not making masks, instead of bras",
F,"A bra manufacturer has no making masks, instead of bras",
F,"A bra manufacturer has begun making attention, instead of bras",
T,Higher ace2 expression found in fat and cancer cells,
F,No ace2 expression found in fat and cancer cells,
F,Higher ace2 expression decreased in fat and cancer cells,
T,Considering bcg vaccination to reduce the impact of covid-19,
F,Considering bcg vaccination to enhance the impact of covid-19,
F,Considering bcg vaccination to increase the impact of covid-19,
T,Lack of immune homology with vaccine preventable pathogens suggests childhood immunizations do not protect against sars-cov-2 through adaptive cross-immunity,
F,Lack of immune homology with vaccine preventable pathogens suggests childhood immunizations do also protect against sars-cov-2 through adaptive cross-immunity,
F,Lack of immune homology with vaccine preventable pathogens suggests childhood immunizations do directly protect against sars-cov-2 through adaptive cross-immunity,
F,Lack of immune homology with vaccine preventable pathogens suggests childhood immunizations do more protect against sars-cov-2 through adaptive cross-immunity,
T,Poverty and economic dislocation reduce compliance with covid-19 shelter-in-place protocols,
F,Poverty and economic dislocation increased compliance with covid-19 shelter-in-place protocols,
F,Poverty and economic dislocation improved compliance with covid-19 shelter-in-place protocols,
F,Poverty and economic dislocation are compliance with covid-19 shelter-in-place protocols,
T,Reappearance of effector t cells predicts successful recovery from covid-19,
F,Reappearance of effector t cells cannots successful recovery from covid-19,
T,"Cuomo questions testing rates in u.s. as cases top 1,000",
F,"Cuomo questions testing rates in u.s. as cases top 1,.",
T,Sulfated polysaccharides effectively inhibit sars-cov-2 in vitro,
F,Sulfated polysaccharides effectively activate sars-cov-2 in vitro,
F,Sulfated polysaccharides effectively produce sars-cov-2 in vitro,
F,Sulfated polysaccharides effectively induce sars-cov-2 in vitro,
T,Mcdonald 's to shut seating and play areas due to covid-19,
F,Mcdonald's to become seating and play areas due to covid-19,
F,Mcdonald's to make seating and play areas due to covid-19,
F,Mcdonald's to have seating and play areas due to covid-19,
T,One art regimen tied to lower covid-19 risk in hiv,
F,One art regimen tied to increasing covid-19 risk in hiv,
F,One art regimen tied to increased covid-19 risk in hiv,
F,One art regimen tied to higher covid-19 risk in hiv,
T,Sars-cov-2 infection control implementation based on sources of infection showing directions for three age groups in japan.,
F,Sars-cov-2 infection control implementation based on sources of infection showing directions for three age groups in canada.,
F,Sars-cov-2 infection control implementation based on sources of infection showing directions for three age groups in australia.,
